Target,accuracy,macro_f1,result_file,status,stem,val_accuracy,val_macro_f1,weighted_f1
01当涂,0.5963702422145329,0.4937480826485519,output/0722/ablation_memory_20260723_001604/01_Dangtu/result.json,done,01_Dangtu,0.7032110091743119,0.622734973445493,0.594453318170208
02芜湖,0.6911579818031431,0.6078293234876488,output/0722/ablation_memory_20260723_001604/02_Wuhu/result.json,done,02_Wuhu,0.6707155477031802,0.5981318901582344,0.7008509626052128
03池州,0.7177021040974529,0.6536308484335297,output/0722/ablation_memory_20260723_001604/03_Chizhou/result.json,done,03_Chizhou,0.6661796932067202,0.6039500125059283,0.7235610139235078
04青阳,0.7139940987124462,0.6445575466636169,output/0722/ablation_memory_20260723_001604/04_Qingyang/result.json,done,04_Qingyang,0.6859214218896165,0.604394162280845,0.7182442690947347
05孙村,0.7331009023789993,0.6637115940448284,output/0722/ablation_memory_20260723_001604/05_Suncun/result.json,done,05_Suncun,0.6772697150430749,0.6034617461573577,0.7341101257043912
06铜陵,0.686484055600981,0.5968241826365687,output/0722/ablation_memory_20260723_001604/06_Tongling/result.json,done,06_Tongling,0.6593018117543085,0.59283393928505,0.697655389320796
07宣城,0.6732289950576607,0.6083270737092651,output/0722/ablation_memory_20260723_001604/07_Xuancheng/result.json,done,07_Xuancheng,0.6710846034901701,0.6048846775786546,0.6804964687538089
08泾县,0.5397471382197164,0.42835863847530686,output/0722/ablation_memory_20260723_001604/08_Jingxian/result.json,done,08_Jingxian,0.7115431946837313,0.6387743591246264,0.532656862655416
09繁昌,0.6967395264116576,0.618410742817887,output/0722/ablation_memory_20260723_001604/09_Fanchang/result.json,done,09_Fanchang,0.6837644959857271,0.6185276985208488,0.6949459299383177
10南陵,0.6755735522520523,0.6160375214473184,output/0722/ablation_memory_20260723_001604/10_Nanling/result.json,done,10_Nanling,0.6812767984754645,0.6115765450918134,0.6792229337454091
11黄山,0.604704275152684,0.46835130564100724,output/0722/ablation_memory_20260723_001604/11_Huangshan/result.json,done,11_Huangshan,0.7041728763040238,0.636339363416604,0.6017254630897847
12宁国,0.6589836888331242,0.5971233405569805,output/0722/ablation_memory_20260723_001604/12_Ningguo/result.json,done,12_Ningguo,0.7021230028452615,0.6377342854238568,0.660230322941147
13高淳,0.5156410256410257,0.42835645634095215,output/0722/ablation_memory_20260723_001604/13_Gaochun/result.json,done,13_Gaochun,0.6947033416685611,0.6242662016736359,0.5203715264786662
14溧水,0.607859778597786,0.5619281483195437,output/0722/ablation_memory_20260723_001604/14_Lishui/result.json,done,14_Lishui,0.6823450735621935,0.6292922315861216,0.6177034171533299
