Target,accuracy,macro_f1,result_file,status,stem,val_accuracy,val_macro_f1,weighted_f1
01当涂,0.6002871972318339,0.5022652317926325,output/0722/ablation_memory_count_based_v2_20260723_012548/01_Dangtu/result.json,done,01_Dangtu,0.6974770642201835,0.6179204598278087,0.5988924494175688
02芜湖,0.693291976840364,0.6129639261416607,output/0722/ablation_memory_count_based_v2_20260723_012548/02_Wuhu/result.json,done,02_Wuhu,0.6656360424028268,0.5895862632943604,0.700024886481136
03池州,0.7211830933923958,0.6593925957266592,output/0722/ablation_memory_count_based_v2_20260723_012548/03_Chizhou/result.json,done,03_Chizhou,0.6661796932067202,0.6046849873786236,0.7275024117849931
04青阳,0.7160541845493562,0.6461366962093874,output/0722/ablation_memory_count_based_v2_20260723_012548/04_Qingyang/result.json,done,04_Qingyang,0.6875584658559402,0.605055478744405,0.7197039641709366
05孙村,0.7248728465955699,0.664418615815963,output/0722/ablation_memory_count_based_v2_20260723_012548/05_Suncun/result.json,done,05_Suncun,0.670863706648995,0.5965848408720965,0.7265137443958517
06铜陵,0.6814472608340145,0.5989670652392115,output/0722/ablation_memory_count_based_v2_20260723_012548/06_Tongling/result.json,done,06_Tongling,0.6619531595227574,0.5972707669580724,0.6942182018092541
07宣城,0.6783196046128501,0.6174351118292436,output/0722/ablation_memory_count_based_v2_20260723_012548/07_Xuancheng/result.json,done,07_Xuancheng,0.6757234371548487,0.6042287302138616,0.6837535738058197
08泾县,0.5465778233384588,0.4278133968495832,output/0722/ablation_memory_count_based_v2_20260723_012548/08_Jingxian/result.json,done,08_Jingxian,0.7125276888998278,0.6357026540981088,0.5393639147234279
09繁昌,0.7084517304189434,0.6254890208581785,output/0722/ablation_memory_count_based_v2_20260723_012548/09_Fanchang/result.json,done,09_Fanchang,0.6935771632471008,0.6250992198384386,0.7046859397398157
10南陵,0.7096782782338584,0.641739034270303,output/0722/ablation_memory_count_based_v2_20260723_012548/10_Nanling/result.json,done,10_Nanling,0.6881848499285373,0.6079155491824874,0.7122731453210298
11黄山,0.6184635165541628,0.4657288776032682,output/0722/ablation_memory_count_based_v2_20260723_012548/11_Huangshan/result.json,done,11_Huangshan,0.7014406358668653,0.6383734778692751,0.6118221893381726
12宁国,0.6374153074027603,0.5761330937692561,output/0722/ablation_memory_count_based_v2_20260723_012548/12_Ningguo/result.json,done,12_Ningguo,0.6968702123002846,0.6345324737988125,0.634601780211008
13高淳,0.5184375,0.4385240354417854,output/0722/ablation_memory_count_based_v2_20260723_012548/13_Gaochun/result.json,done,13_Gaochun,0.6990225051147988,0.6302054742149692,0.5249849261275891
14溧水,0.5989114391143913,0.5513746039886646,output/0722/ablation_memory_count_based_v2_20260723_012548/14_Lishui/result.json,done,14_Lishui,0.6959429335711101,0.63930040596668,0.609875258119106
