run_idx,split_seed,support_size,query_size,accuracy,macro_f1,weighted_f1
0,42,36,9268,0.6718817436340095,0.6037453565426355,0.6845468506149134
1,1051,36,9268,0.6695079844626672,0.6051075940040107,0.6765809855568617
2,2060,36,9268,0.6746870953819595,0.6120137176292585,0.6846697008779286
3,3069,36,9268,0.7192490289167026,0.651443619128416,0.7223732385841787
4,4078,36,9268,0.6839663357790245,0.6103681285493148,0.6889900007492639
5,5087,36,9268,0.6960509279240397,0.6249721194471566,0.7051859491422072
6,6096,36,9268,0.6708027621924902,0.5981466676896592,0.676362214910692
7,7105,36,9268,0.6404833836858006,0.5750382458873908,0.6435650980952843
8,8114,36,9268,0.6814846784635304,0.6153363924413983,0.688963833939333
9,9123,36,9268,0.6988562796719896,0.6311408838252691,0.7064875253851137
10,10132,36,9268,0.6063875701337937,0.5474443160162231,0.602982741170433
11,11141,36,9268,0.6754423823910228,0.6110868955182426,0.682741988177929
12,12150,36,9268,0.6996115666810531,0.626346769159424,0.70561214507999
13,13159,36,9268,0.6592576607682348,0.5951568999567337,0.6645045845435535
14,14168,36,9268,0.6784635304272767,0.6053956875577057,0.6885929884162035
15,15177,36,9268,0.6819162710401381,0.5947653274236059,0.6874727621182255
16,16186,36,9268,0.6998273629693569,0.6323143390614904,0.70496617280434
17,17195,36,9268,0.705114372032801,0.6324706260923826,0.7094157453215225
18,18204,36,9268,0.7072723349158394,0.6360084502646067,0.7102228359758348
19,19213,36,9268,0.7020932239965473,0.6321124958882316,0.7049473535888724
20,20222,36,9268,0.6650841605524385,0.5917775159509252,0.6692864020753408
21,21231,36,9268,0.6782477341389728,0.6085140521837415,0.6863070733841796
22,22240,36,9268,0.7014458351316357,0.6332728338813315,0.7075963688375876
23,23249,36,9268,0.6488994389296504,0.6117083289207592,0.6552039617222501
24,24258,36,9268,0.7047906776003453,0.6302274284996814,0.7081208972190483
25,25267,36,9268,0.6287224859732412,0.5671739829234403,0.6456439161071139
26,26276,36,9268,0.6777082434182132,0.6133930980958185,0.6841907348777723
27,27285,36,9268,0.6777082434182132,0.617475252264899,0.6911971258161522
28,28294,36,9268,0.6957272334915839,0.6341890536780164,0.7049541025322574
29,29303,36,9268,0.6986404833836858,0.625359053749126,0.7062507079902854
30,30312,36,9268,0.6927060854553302,0.6224807125160781,0.6986761774812423
31,31321,36,9268,0.6671342252913249,0.6049841091291944,0.6720976517834013
32,32330,36,9268,0.669831678895123,0.6074816354961243,0.6788211324554728
33,33339,36,9268,0.6665947345705654,0.6095718766014661,0.6810478315465599
34,34348,36,9268,0.6868795856711265,0.6068515741861109,0.6946767010212971
35,35357,36,9268,0.6758739749676306,0.6070436692722798,0.6857887302710454
36,36366,36,9268,0.6923823910228744,0.6201922503032102,0.7019308308693789
37,37375,36,9268,0.6936771687526975,0.6131140929125094,0.6942837465843175
38,38384,36,9268,0.680729391454467,0.6127207687411251,0.6905329241711596
39,39393,36,9268,0.659041864479931,0.5881314298366433,0.667248593322367
40,40402,36,9268,0.6700474751834269,0.6120690393399257,0.6782833037927332
41,41411,36,9268,0.7094302977988779,0.642719680526684,0.7135944336447241
42,42420,36,9268,0.6796504100129478,0.6120259268116518,0.6910787635802627
43,43429,36,9268,0.663034095813552,0.6029800839533874,0.674001980784549
44,44438,36,9268,0.7136383254208027,0.6470580491177782,0.7202157082202287
45,45447,36,9268,0.6596892533448425,0.6035996075069643,0.672629961943829
