sample_id,wav_path,start_time,end_time,tone,vowel,char,pinyin,region,site,speaker_id,paper_region,f1_mean_hz,f1_std_hz,f2_mean_hz,f2_std_hz,f3_mean_hz,f3_std_hz
0712_row_00000000,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0001.wav,1.18695,1.42617,中高元音,o,多,201DTtnlm10001多,01当涂,01塘南,001徐大保,01当涂,332.13421630859375,28.490415573120117,727.292724609375,174.0310516357422,2217.649169921875,518.7978515625
0712_row_00000001,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0003.wav,1.21738,1.40805,低元音,a,大,201DTtnlm10003大,01当涂,01塘南,001徐大保,01当涂,657.924560546875,293.1217346191406,1124.71533203125,227.51882934570312,2093.730224609375,448.1671142578125
0712_row_00000002,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0013.wav,1.12351,1.41645,中高元音,o,破,201DTtnlm10013破,01当涂,01塘南,001徐大保,01当涂,498.87640380859375,320.47552490234375,974.28515625,463.1910400390625,2017.2662353515625,829.4207153320312
0712_row_00000003,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0015.wav,0.85839,1.19269,中高元音,o,磨,201DTtnlm10015磨,01当涂,01塘南,001徐大保,01当涂,365.436279296875,96.06060028076172,700.0689697265625,82.66048431396484,2090.332275390625,527.6909790039062
0712_row_00000004,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0016.wav,1.42905,1.72952,中高元音,o,磨,201DTtnlm10016磨,01当涂,01塘南,001徐大保,01当涂,390.92510986328125,81.50298309326172,755.0936279296875,68.68079376220703,2087.07373046875,629.2489013671875
0712_row_00000005,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0022.wav,0.95475,1.26132,中高元音,o,过,201DTtnlm10022过,01当涂,01塘南,001徐大保,01当涂,349.8329772949219,62.535987854003906,631.7418212890625,103.4524154663086,1499.3204345703125,663.5300903320312
0712_row_00000006,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0028.wav,1.18995,1.43146,低元音,a,把,201DTtnlm10028把,01当涂,01塘南,001徐大保,01当涂,499.9003601074219,172.9818115234375,942.65185546875,174.07174682617188,1514.3382568359375,515.9959106445312
0712_row_00000007,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0030.wav,1.18146,1.47399,低元音,a,马,201DTtnlm10030马,01当涂,01塘南,001徐大保,01当涂,548.1795043945312,284.86151123046875,1115.97802734375,213.50424194335938,1999.49755859375,676.4280395507812
0712_row_00000008,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0031.wav,1.27475,1.5275,低元音,a,骂,201DTtnlm10031骂,01当涂,01塘南,001徐大保,01当涂,482.0011291503906,228.7841033935547,1028.8909912109375,166.34490966796875,1634.140625,489.3791198730469
0712_row_00000009,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0032.wav,1.05979,1.39672,低元音,a,茶,,01当涂,01塘南,001徐大保,01当涂,610.017822265625,316.1198425292969,1354.94677734375,280.5262145996094,2167.9677734375,491.1406555175781
