sample_id,wav_path,start_time,end_time,tone,vowel,char,pinyin,region,site,speaker_id
0712_row_00000000,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0001.wav,1.18695,1.42617,中高元音,o,多,201DTtnlm10001多,01当涂,01塘南,001徐大保
0712_row_00000001,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0003.wav,1.21738,1.40805,低元音,a,大,201DTtnlm10003大,01当涂,01塘南,001徐大保
0712_row_00000002,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0013.wav,1.12351,1.41645,中高元音,o,破,201DTtnlm10013破,01当涂,01塘南,001徐大保
0712_row_00000003,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0015.wav,0.85839,1.19269,中高元音,o,磨,201DTtnlm10015磨,01当涂,01塘南,001徐大保
0712_row_00000004,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0016.wav,1.42905,1.72952,中高元音,o,磨,201DTtnlm10016磨,01当涂,01塘南,001徐大保
0712_row_00000005,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0022.wav,0.95475,1.26132,中高元音,o,过,201DTtnlm10022过,01当涂,01塘南,001徐大保
0712_row_00000006,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0028.wav,1.18995,1.43146,低元音,a,把,201DTtnlm10028把,01当涂,01塘南,001徐大保
0712_row_00000007,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0030.wav,1.18146,1.47399,低元音,a,马,201DTtnlm10030马,01当涂,01塘南,001徐大保
0712_row_00000008,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0031.wav,1.27475,1.5275,低元音,a,骂,201DTtnlm10031骂,01当涂,01塘南,001徐大保
0712_row_00000009,/home/ustc1958/lxy/graph/tone/tone/01语音/01语音信号/01当涂/01塘南/001徐大保/ch1/0032.wav,1.05979,1.39672,低元音,a,茶,,01当涂,01塘南,001徐大保
