Target,column,accuracy,accuracy_std,macro_f1,macro_f1_std,weighted_f1,val_macro_f1,eval_device,result_file
01当涂,region,0.5963702422145329,0.0034558341519974143,0.4937480826485519,0.007762268367495169,0.594453318170208,0.622734973445493,cpu,output/0722/main_table_rc_memnet_14targets_20260722_231203/01_Dangtu/result.json
02芜湖,region,0.6911579818031431,0.0047665937251361095,0.6078293234876488,0.005848360082789826,0.7008509626052128,0.5981318901582344,cpu,output/0722/main_table_rc_memnet_14targets_20260722_231203/02_Wuhu/result.json
03池州,region,0.7177021040974529,0.004209700420574005,0.6536308484335297,0.005192428593341322,0.7235610139235078,0.6039500125059283,cpu,output/0722/main_table_rc_memnet_14targets_20260722_231203/03_Chizhou/result.json
04青阳,region,0.7139940987124462,0.004213892298202025,0.6445575466636169,0.00317749806169585,0.7182442690947347,0.604394162280845,cpu,output/0722/main_table_rc_memnet_14targets_20260722_231203/04_Qingyang/result.json
05孙村,region,0.7331009023789993,0.006001577406548252,0.6637115940448284,0.008092316619604264,0.7341101257043912,0.6034617461573577,cpu,output/0722/main_table_rc_memnet_14targets_20260722_231203/05_Suncun/result.json
06铜陵,region,0.686484055600981,0.003573102173710653,0.5968241826365687,0.005618187450251754,0.697655389320796,0.59283393928505,cpu,output/0722/main_table_rc_memnet_14targets_20260722_231203/06_Tongling/result.json
07宣城,region,0.6732289950576607,0.009775564141513399,0.6083270737092651,0.009669517967767013,0.6804964687538089,0.6048846775786546,cpu,output/0722/main_table_rc_memnet_14targets_20260722_231203/07_Xuancheng/result.json
08泾县,region,0.5397471382197164,0.0041204761244739135,0.42835863847530686,0.0038286786066265865,0.532656862655416,0.6387743591246264,cpu,output/0722/main_table_rc_memnet_14targets_20260722_231203/08_Jingxian/result.json
09繁昌,region,0.6967395264116576,0.005488927426607854,0.618410742817887,0.00687459450657261,0.6949459299383177,0.6185276985208488,cpu,output/0722/main_table_rc_memnet_14targets_20260722_231203/09_Fanchang/result.json
10南陵,region,0.6755735522520523,0.005097244393885074,0.6160375214473184,0.005175297518704233,0.6792229337454091,0.6115765450918134,cpu,output/0722/main_table_rc_memnet_14targets_20260722_231203/10_Nanling/result.json
11黄山,region,0.604704275152684,0.005543715191582136,0.46835130564100724,0.00768338534296905,0.6017254630897847,0.636339363416604,cpu,output/0722/main_table_rc_memnet_14targets_20260722_231203/11_Huangshan/result.json
12宁国,site,0.6589836888331242,0.01904549833018441,0.5971233405569805,0.018667634189821272,0.660230322941147,0.6377342854238568,cpu,output/0722/main_table_rc_memnet_14targets_20260722_231203/12_Ningguo/result.json
13高淳,region,0.5156410256410257,0.003422329972622333,0.42835645634095215,0.005202014276723003,0.5203715264786662,0.6242662016736359,cpu,output/0722/main_table_rc_memnet_14targets_20260722_231203/13_Gaochun/result.json
14溧水,site,0.607859778597786,0.00762189692128056,0.5619281483195437,0.008333888730616284,0.6177034171533299,0.6292922315861216,cpu,output/0722/main_table_rc_memnet_14targets_20260722_231203/14_Lishui/result.json
