variant,region,status,json_path,ckpt_path,mtime,holdout_region,num_prompts,num_slots,write_top_k,ablation_variant,target_adapt_steps,eval_split_runs,accuracy_pct,accuracy_std_pct
Single Prompt (L=1),Qingyang,EXISTS,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/missing_ablations_20260724/single_prompt_L1/04_Qingyang/result.json,N/A (Memory cache mode),2026-07-24 22:40:10,04青阳,1,4,1,rc_memnet,50,20,64.3683,0.1318
Single Prompt (L=1),Jingxian,EXISTS,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/missing_ablations_20260724/single_prompt_L1/08_Jingxian/result.json,N/A (Memory cache mode),2026-07-24 22:41:37,08泾县,1,4,1,rc_memnet,50,20,47.4235,0.1613
Single Prompt (L=1),Chizhou,EXISTS,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/missing_ablations_20260724/single_prompt_L1/03_Chizhou/result.json,N/A (Memory cache mode),2026-07-24 22:42:54,03池州,1,4,1,rc_memnet,50,20,67.5406,0.1594
Uniform Routing,Qingyang,EXISTS,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/missing_ablations_20260724/uniform_routing/04_Qingyang/result.json,N/A (Memory cache mode),2026-07-24 22:43:25,04青阳,8,4,1,uniform_prompt_fusion,0,20,64.721,0.0923
Uniform Routing,Jingxian,EXISTS,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/missing_ablations_20260724/uniform_routing/08_Jingxian/result.json,N/A (Memory cache mode),2026-07-24 22:43:57,08泾县,8,4,1,uniform_prompt_fusion,0,20,48.7007,0.0475
Uniform Routing,Chizhou,EXISTS,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/missing_ablations_20260724/uniform_routing/03_Chizhou/result.json,N/A (Memory cache mode),2026-07-24 22:44:27,03池州,8,4,1,uniform_prompt_fusion,0,20,67.1761,0.0351
Uniform Composition,Qingyang,EXISTS,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/missing_ablations_20260724/uniform_composition/04_Qingyang/result.json,N/A (Memory cache mode),2026-07-24 22:44:57,04青阳,8,4,1,rc_memnet,0,20,64.721,0.0923
Uniform Composition,Jingxian,EXISTS,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/missing_ablations_20260724/uniform_composition/08_Jingxian/result.json,N/A (Memory cache mode),2026-07-24 22:45:27,08泾县,8,4,1,rc_memnet,0,20,48.7007,0.0475
Uniform Composition,Chizhou,EXISTS,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/missing_ablations_20260724/uniform_composition/03_Chizhou/result.json,N/A (Memory cache mode),2026-07-24 22:45:58,03池州,8,4,1,rc_memnet,0,20,67.1761,0.0351
Single Source Prompt,Qingyang,EXISTS,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/missing_ablations_20260724/single_source_prompt/04_Qingyang/result.json,N/A (Memory cache mode),2026-07-24 22:46:26,04青阳,8,1,1,single_global,0,20,64.3696,0.0892
Single Source Prompt,Jingxian,EXISTS,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/missing_ablations_20260724/single_source_prompt/08_Jingxian/result.json,N/A (Memory cache mode),2026-07-24 22:46:57,08泾县,8,1,1,single_global,0,20,49.9547,0.0412
Single Source Prompt,Chizhou,EXISTS,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/missing_ablations_20260724/single_source_prompt/03_Chizhou/result.json,N/A (Memory cache mode),2026-07-24 22:47:26,03池州,8,1,1,single_global,0,20,65.9265,0.0456
Unconstrained Composition,Qingyang,EXISTS,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/missing_ablations_20260724/unconstrained_composition/04_Qingyang/result.json,N/A (Memory cache mode),2026-07-24 22:48:32,04青阳,8,4,1,no_slow_consolidation,50,20,64.4219,0.4179
Unconstrained Composition,Jingxian,EXISTS,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/missing_ablations_20260724/unconstrained_composition/08_Jingxian/result.json,N/A (Memory cache mode),2026-07-24 22:49:48,08泾县,8,4,1,no_slow_consolidation,50,20,47.9412,0.357
Unconstrained Composition,Chizhou,EXISTS,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/missing_ablations_20260724/unconstrained_composition/03_Chizhou/result.json,N/A (Memory cache mode),2026-07-24 22:51:03,03池州,8,4,1,no_slow_consolidation,50,20,67.7021,0.5556
M = 1,Qingyang,EXISTS,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/missing_ablations_20260724/slots_M1/04_Qingyang/result.json,N/A (Memory cache mode),2026-07-24 22:52:09,04青阳,8,1,1,rc_memnet,50,20,64.5333,0.2388
