model,resolved_model,target,protocol,k,splits,train_scheme,accuracy,accuracy_std,macro_f1,macro_f1_std,weighted_f1,weighted_f1_std,zero_shot_accuracy,zero_shot_macro_f1,time_sec
MR-HuBERT,MR-HuBERT,Chizhou,loro,4.0,100.0,last_layer,0.564359542266519,0.02690039135506647,0.5094429769293137,0.02022154451549259,0.5716703111186967,0.028774549437889305,0.6001100110011001,0.5444108632024359,134.2305892892182
MR-HuBERT,MR-HuBERT,Dangtu,loro,4.0,100.0,last_layer,0.41847058823529415,0.04401523392610497,0.3722980563178616,0.03785172419153709,0.42725692118679603,0.054161059971491246,0.4880382775119617,0.43907044173155296,134.70868063345551
MR-HuBERT,MR-HuBERT,Fanchang,loro,4.0,100.0,last_layer,0.5438372799028536,0.04128010824234042,0.48818430651633,0.034012234425994714,0.5573421019997136,0.042665393268295396,0.6048722519310754,0.5512405286388041,128.8358532525599
MR-HuBERT,MR-HuBERT,Gaochun,loro,4.0,100.0,last_layer,0.3540785256410257,0.036902126659059405,0.3113791396948181,0.02987872781994091,0.3504799755408318,0.047563805332406346,0.44549763033175355,0.39241154036289533,128.16427110135555
MR-HuBERT,MR-HuBERT,Huangshan,loro,4.0,100.0,last_layer,0.4217422050787528,0.04549710375917923,0.3550221340586431,0.03421613446853375,0.44112930673992556,0.050901460160910586,0.5445829338446788,0.4292530780171588,128.26288274489343
MR-HuBERT,MR-HuBERT,Jingxian,loro,4.0,100.0,last_layer,0.3884144882966,0.046748478016923244,0.35143384636909425,0.03662733320295406,0.39441753990024286,0.05185548053271674,0.47868908133808796,0.4300467171203932,127.99976945482194
MR-HuBERT,MR-HuBERT,Lishui,loro,4.0,100.0,last_layer,0.4653382533825338,0.046562469843901576,0.4149110072063095,0.04127739968310458,0.46780832537763056,0.0574880681629099,0.5409145607701564,0.49908554907117253,129.08672046661377
MR-HuBERT,MR-HuBERT,Nanling,loro,4.0,100.0,last_layer,0.5306079431994675,0.0425007413258816,0.4860398947992859,0.03313500269050861,0.5399920140722764,0.04951992424232579,0.5945410521681708,0.5516647159906414,127.03255630843341
MR-HuBERT,MR-HuBERT,Ningguo,loro,4.0,100.0,last_layer,0.46324968632371394,0.025407279256397138,0.41186194091373507,0.024189154917196365,0.45380313825455587,0.03427407992865096,0.5474189675870348,0.510357488802591,127.71704730950296
MR-HuBERT,MR-HuBERT,Qingyang,loro,4.0,100.0,last_layer,0.5261292918454936,0.02611674531171401,0.4784867944654019,0.022900214689442668,0.5354429317357696,0.029328219300646406,0.5874070138150903,0.5374996334890003,128.79270359501243
MR-HuBERT,MR-HuBERT,Suncun,loro,4.0,100.0,last_layer,0.5597703035274817,0.039931354526441754,0.506205948125343,0.03657626841751107,0.5736798161231729,0.04387797249577249,0.6175298804780877,0.5676805792301265,127.44410111568868
MR-HuBERT,MR-HuBERT,Tongling,loro,4.0,100.0,last_layer,0.5385936222403924,0.04532752025543353,0.48513735076788583,0.034198934148516574,0.5443047056456415,0.054969261158051376,0.6108022239872914,0.5473922263416435,126.20425941236317
MR-HuBERT,MR-HuBERT,Wuhu,loro,4.0,100.0,last_layer,0.5015384615384615,0.04861651044954723,0.45883199508928096,0.0372782069846995,0.5138637121611819,0.05178415751347728,0.5646586345381526,0.5238238733131273,127.7470956966281
MR-HuBERT,MR-HuBERT,Xuancheng,loro,4.0,100.0,last_layer,0.5504859967051071,0.03787033413941603,0.49563272937441805,0.03244100249620236,0.554047317888247,0.03985407712571373,0.6288,0.5752132936214324,127.68812274001539
MS-HuBERT,MS-HuBERT,Chizhou,loro,4.0,100.0,last_layer,0.5757733480989295,0.026214097957093084,0.5199039200117925,0.02090681778242315,0.5913840817095497,0.02930488516992461,0.6923359002566923,0.6238562267097341,163.61909545585513
MS-HuBERT,MS-HuBERT,Dangtu,loro,4.0,100.0,last_layer,0.4239204152249135,0.040812100709237596,0.3797718244598764,0.03317797094127625,0.4327150787810037,0.05100617067605887,0.5167464114832536,0.47407552136589853,162.8248464949429
MS-HuBERT,MS-HuBERT,Fanchang,loro,4.0,100.0,last_layer,0.498816029143898,0.03813005967988881,0.45489427050697584,0.03341986866285197,0.518260914395723,0.04302962901381984,0.6114081996434938,0.5509573877164935,163.05849729292095
MS-HuBERT,MS-HuBERT,Gaochun,loro,4.0,100.0,last_layer,0.3646434294871795,0.029230318601545274,0.3307111309175004,0.02573838210678031,0.35961670453570954,0.03902299691194605,0.46445497630331756,0.4134855923017853,163.12743074446917
MS-HuBERT,MS-HuBERT,Huangshan,loro,4.0,100.0,last_layer,0.4481468981035037,0.04446758513195806,0.3829458941380701,0.033721107498966,0.4634914967367402,0.05114510959459974,0.5798977309044423,0.4681744906900252,163.70551644824445
MS-HuBERT,MS-HuBERT,Jingxian,loro,4.0,100.0,last_layer,0.39061506919528455,0.04267819340999126,0.35536461357769644,0.033062577435406575,0.3960186832766541,0.04898755210993494,0.5034810663949737,0.4485861754880572,164.2914143614471
MS-HuBERT,MS-HuBERT,Lishui,loro,4.0,100.0,last_layer,0.467269372693727,0.03507823879152864,0.42578459217901915,0.03168136252224848,0.4755957494727585,0.04371943069529827,0.5631768953068592,0.5191489613641638,158.42372926138341
MS-HuBERT,MS-HuBERT,Nanling,loro,4.0,100.0,last_layer,0.5479853561127136,0.03659687133690598,0.5021175025460676,0.029619858476296525,0.5562287013288119,0.04163689461233449,0.6335020911292097,0.5856744707063856,160.16073212772608
MS-HuBERT,MS-HuBERT,Ningguo,loro,4.0,100.0,last_layer,0.44710163111668755,0.0348651350534748,0.3988463742010622,0.02834136115481276,0.44938791256397354,0.043745766121311286,0.5894357743097239,0.5417788754750708,159.44016582332551
MS-HuBERT,MS-HuBERT,Qingyang,loro,4.0,100.0,last_layer,0.5403460300429185,0.023734852727407538,0.4891323600914263,0.019788551326724454,0.5504799101583382,0.025381231489422854,0.6299149840595112,0.5713274460546983,161.16549486108124
MS-HuBERT,MS-HuBERT,Suncun,loro,4.0,100.0,last_layer,0.5187530762920427,0.03786559854448879,0.48083529969793837,0.03492266702950092,0.537754114807465,0.04252857868858133,0.6143426294820717,0.5731608189032119,160.71507122926414
MS-HuBERT,MS-HuBERT,Tongling,loro,4.0,100.0,last_layer,0.5350449713818479,0.04245442299283855,0.48159634047972766,0.03678117499781138,0.5454272924177517,0.04906108061252754,0.630659253375695,0.549351139794855,155.58436288498342
MS-HuBERT,MS-HuBERT,Wuhu,loro,4.0,100.0,last_layer,0.48908188585607937,0.043247810868916554,0.44165379596235077,0.03336697957629452,0.5074130366031394,0.04583759598001636,0.5855421686746988,0.5265543851157847,159.6165740955621
MS-HuBERT,MS-HuBERT,Xuancheng,loro,4.0,100.0,last_layer,0.5276029654036245,0.037723492620220705,0.47809406076264566,0.03223840094758568,0.5355354196001365,0.04251317230985041,0.6336,0.5692572180735889,161.06104415655136
allophant-hierarchical-hfcache,allophant-hierarchical-hfcache,Chizhou,loro,4.0,100.0,last_layer,0.4379900332225914,0.045800909937506226,0.38388958043996724,0.032388275077835434,0.454236781030478,0.05406691717909201,0.51008434176751,0.4414340466407042,2755.6289337538183
allophant-hierarchical-hfcache,allophant-hierarchical-hfcache,Dangtu,loro,4.0,100.0,last_layer,0.3187231833910035,0.0419849151578819,0.2836970406002435,0.035349156698655314,0.31444909702042495,0.05293473595068147,0.4224196855775803,0.37825896585054014,282.2748974952847
allophant-hierarchical-hfcache,allophant-hierarchical-hfcache,Fanchang,loro,4.0,100.0,last_layer,0.3967152398299939,0.054844168485581254,0.347936622742648,0.041663015889386944,0.40937639987915975,0.06556021699441425,0.49554367201426025,0.4433836476938931,265.82519851997495
allophant-hierarchical-hfcache,allophant-hierarchical-hfcache,Gaochun,loro,4.0,100.0,last_layer,0.2684254807692308,0.038990965370637634,0.22556351295654545,0.026194442247396955,0.25991512792236066,0.045762198807932836,0.330173775671406,0.2854413609846073,265.33154533803463
allophant-hierarchical-hfcache,allophant-hierarchical-hfcache,Huangshan,loro,4.0,100.0,last_layer,0.2945403407264545,0.041189540109155424,0.2465979224109598,0.028807728227842867,0.30271879063421914,0.05014393244727522,0.3852668584212208,0.33033803284546503,273.1428416389972
allophant-hierarchical-hfcache,allophant-hierarchical-hfcache,Jingxian,loro,4.0,100.0,last_layer,0.2601264308901418,0.050309420388711015,0.23269288685845269,0.03515238444645892,0.25891542060848005,0.061918476620129316,0.32416369502462217,0.2882097819656525,284.7271466013044
allophant-hierarchical-hfcache,allophant-hierarchical-hfcache,Lishui,loro,4.0,100.0,last_layer,0.34740467404674047,0.050987305787650934,0.3066331963526854,0.039885387609008637,0.3521449049586361,0.06266516937889934,0.4404332129963899,0.3805355280539857,279.60274424031377
allophant-hierarchical-hfcache,allophant-hierarchical-hfcache,Nanling,loro,4.0,100.0,last_layer,0.4023541158198358,0.05221199759303481,0.3612477269820497,0.03890151042146693,0.4092747126421671,0.06464448165543094,0.4384767774598283,0.4099589187549153,283.6531644202769
allophant-hierarchical-hfcache,allophant-hierarchical-hfcache,Ningguo,loro,4.0,100.0,last_layer,0.3338519447929737,0.03175417005164328,0.296501118745333,0.026507338510288667,0.31829556674239307,0.03464148539491811,0.4057623049219688,0.34305559339499614,273.8071712218225
allophant-hierarchical-hfcache,allophant-hierarchical-hfcache,Qingyang,loro,4.0,100.0,last_layer,0.4028406652360515,0.04782667940355042,0.3606109481149734,0.034711387822077916,0.4017696565978349,0.05672370812044916,0.48432518597236984,0.4177731560111392,271.95289433375
allophant-hierarchical-hfcache,allophant-hierarchical-hfcache,Suncun,loro,4.0,100.0,last_layer,0.4105414273995078,0.0649020619544124,0.35699289779384913,0.047025104062789425,0.42087111974132235,0.07291798671226646,0.5553784860557769,0.47687006171369006,265.1605938151479
allophant-hierarchical-hfcache,allophant-hierarchical-hfcache,Tongling,loro,4.0,100.0,last_layer,0.39539656582174976,0.04954434832820158,0.3558267303754103,0.03624548181397347,0.39336364410418356,0.05997162045139721,0.49007148530579825,0.41125421514714483,294.051251815632
allophant-hierarchical-hfcache,allophant-hierarchical-hfcache,Wuhu,loro,4.0,100.0,last_layer,0.3882464846980976,0.0563219241719939,0.34516647083382873,0.04027731483067849,0.4019095374026451,0.06634370124223457,0.5301204819277109,0.4491389904673502,293.61396006681025
allophant-hierarchical-hfcache,allophant-hierarchical-hfcache,Xuancheng,loro,4.0,100.0,last_layer,0.3984514003294893,0.0563958459057006,0.36350354195515405,0.04263665295177876,0.3955496152708099,0.06766954358513627,0.4232,0.40047554002289604,278.916361739859
hubert-base-ls960,hubert-base-ls960,Chizhou,,,,last_layer,0.5260059062384644,0.03385739955901173,0.47187413450552684,0.028681954918741818,0.5508095485561453,0.035609326657289754,0.5991932526585992,0.5507591480760552,181.43624881654978
hubert-base-ls960,hubert-base-ls960,Dangtu,,,,last_layer,0.3764532871972318,0.0514397871072337,0.3347009480387746,0.04050990189392985,0.3820690547942855,0.06359329687566694,0.4794941900205058,0.42753407004182603,181.9975975137204
hubert-base-ls960,hubert-base-ls960,Fanchang,,,,last_layer,0.46355798421372185,0.044721874874257515,0.4296374053528453,0.03937016222864734,0.47297230806731966,0.051651275545005954,0.5638740344622698,0.5306202751264798,180.99505797959864
hubert-base-ls960,hubert-base-ls960,Gaochun,,,,last_layer,0.33993589743589736,0.03583340377357381,0.30727753808341285,0.028145880677957612,0.3339578285806562,0.04285823566854825,0.42417061611374407,0.3748928170931754,178.26496713235974
hubert-base-ls960,hubert-base-ls960,Huangshan,,,,last_layer,0.3760141433622631,0.04603577461243438,0.316365958784963,0.03270035251253738,0.39273974262199607,0.050890321580643626,0.5447427293064877,0.4200509064234395,181.80067474767566
hubert-base-ls960,hubert-base-ls960,Jingxian,,,,last_layer,0.33417734495130696,0.04306340886700409,0.30643715878179595,0.030936918355607416,0.341808750610585,0.05159292646301562,0.46544404822550517,0.40986084197268197,181.31716792844236
hubert-base-ls960,hubert-base-ls960,Lishui,,,,last_layer,0.4328782287822879,0.055350485861719645,0.38575632287668427,0.04403223301676744,0.4325036444350773,0.06824384379500789,0.529482551143201,0.47721531041880183,178.45170914009213
hubert-base-ls960,hubert-base-ls960,Nanling,,,,last_layer,0.4974816951408921,0.04505237181265797,0.4615076499977737,0.03431479374183993,0.5045469613737062,0.052851999919574545,0.611930442438917,0.5594041399301739,181.01155608147383
hubert-base-ls960,hubert-base-ls960,Ningguo,,,,last_layer,0.3812547051442911,0.027203124762952564,0.34419983731178116,0.024180343956542272,0.3625398078594535,0.03673844593780856,0.4777911164465786,0.4516245502827147,180.47707925364375
hubert-base-ls960,hubert-base-ls960,Qingyang,,,,last_layer,0.4670118025751073,0.03976619018270733,0.4356226630992467,0.030767676874518358,0.4764612273290579,0.04481565888367715,0.507173219978746,0.49215829856982374,180.73066922463477
hubert-base-ls960,hubert-base-ls960,Suncun,,,,last_layer,0.4924446267432321,0.04631629794086692,0.4488215964288898,0.04148895268603574,0.5061647676144415,0.05291178773860176,0.5936254980079682,0.5486943288349312,179.62883553095162
hubert-base-ls960,hubert-base-ls960,Tongling,,,,last_layer,0.4595748160261652,0.05485764160068872,0.421892175742647,0.041273743797398975,0.4686453421306306,0.06464960884072557,0.5901509134233519,0.5103473197970582,179.53630795143545
hubert-base-ls960,hubert-base-ls960,Wuhu,,,,last_layer,0.4550372208436725,0.05681036503772257,0.42129310939231424,0.03994518521065004,0.4636997064541847,0.06273766789511619,0.5228915662650603,0.4958667771545492,181.94576896727085
hubert-base-ls960,hubert-base-ls960,Xuancheng,,,,last_layer,0.4884596375617793,0.05648284407970856,0.4498201120231057,0.046771506439061604,0.48097023348087425,0.06578828409754793,0.5888,0.5546267366244007,180.7724226396531
mHuBERT-147,mHuBERT-147,Chizhou,loro,4.0,100.0,last_layer,0.5126688815060908,0.04817141470086041,0.4714227768451695,0.030770863267701502,0.5374406476463078,0.054886609470973555,0.5511551155115512,0.5144134740303697,190.84559848159552
mHuBERT-147,mHuBERT-147,Dangtu,loro,4.0,100.0,last_layer,0.40256747404844284,0.04672485769963993,0.35580470892579846,0.03577737841327611,0.4140692981593893,0.05677193825380813,0.44463431305536566,0.40711644725287227,183.17610682733357
mHuBERT-147,mHuBERT-147,Fanchang,loro,4.0,100.0,last_layer,0.5073102610807529,0.04262237770588886,0.46173918668632297,0.0335466010471077,0.5173755867122375,0.04924191754379673,0.5733808674985146,0.5201914395642433,180.98857152089477
mHuBERT-147,mHuBERT-147,Gaochun,loro,4.0,100.0,last_layer,0.3438060897435897,0.03633389155416998,0.3024476055420335,0.030706330940676242,0.3367206557323894,0.04335134240881134,0.41824644549763035,0.35246439181190814,181.2195288799703
mHuBERT-147,mHuBERT-147,Huangshan,loro,4.0,100.0,last_layer,0.3983317261330761,0.041322911138552076,0.3286554849788321,0.03064331677539659,0.41307073758377977,0.04602880672566712,0.5172579098753596,0.42127895538580495,182.73894888535142
mHuBERT-147,mHuBERT-147,Jingxian,loro,4.0,100.0,last_layer,0.3687288569964121,0.050582167903342225,0.33065700644885965,0.03552223546476522,0.3682450853261314,0.05780309101704279,0.45457632874851417,0.4014161915747763,180.2476778998971
mHuBERT-147,mHuBERT-147,Lishui,loro,4.0,100.0,last_layer,0.4420172201722018,0.05645916835183202,0.4062424979762549,0.04270253340279881,0.44419249498736646,0.06887287261955204,0.5030084235860409,0.4746744907904832,179.7019445914775
