model,resolved_model,target,protocol,k,splits,train_scheme,accuracy,accuracy_std,macro_f1,macro_f1_std,weighted_f1,weighted_f1_std,zero_shot_accuracy,zero_shot_macro_f1,time_sec
hubert-base-ls960,hubert-base-ls960,Chizhou,,,,last_layer,0.5260059062384644,0.03385739955901173,0.47187413450552684,0.028681954918741818,0.5508095485561453,0.035609326657289754,0.5991932526585992,0.5507591480760552,181.43624881654978
hubert-base-ls960,hubert-base-ls960,Dangtu,,,,last_layer,0.3764532871972318,0.0514397871072337,0.3347009480387746,0.04050990189392985,0.3820690547942855,0.06359329687566694,0.4794941900205058,0.42753407004182603,181.9975975137204
hubert-base-ls960,hubert-base-ls960,Fanchang,,,,last_layer,0.46355798421372185,0.044721874874257515,0.4296374053528453,0.03937016222864734,0.47297230806731966,0.051651275545005954,0.5638740344622698,0.5306202751264798,180.99505797959864
hubert-base-ls960,hubert-base-ls960,Gaochun,,,,last_layer,0.33993589743589736,0.03583340377357381,0.30727753808341285,0.028145880677957612,0.3339578285806562,0.04285823566854825,0.42417061611374407,0.3748928170931754,178.26496713235974
hubert-base-ls960,hubert-base-ls960,Huangshan,,,,last_layer,0.3760141433622631,0.04603577461243438,0.316365958784963,0.03270035251253738,0.39273974262199607,0.050890321580643626,0.5447427293064877,0.4200509064234395,181.80067474767566
hubert-base-ls960,hubert-base-ls960,Jingxian,,,,last_layer,0.33417734495130696,0.04306340886700409,0.30643715878179595,0.030936918355607416,0.341808750610585,0.05159292646301562,0.46544404822550517,0.40986084197268197,181.31716792844236
hubert-base-ls960,hubert-base-ls960,Lishui,,,,last_layer,0.4328782287822879,0.055350485861719645,0.38575632287668427,0.04403223301676744,0.4325036444350773,0.06824384379500789,0.529482551143201,0.47721531041880183,178.45170914009213
hubert-base-ls960,hubert-base-ls960,Nanling,,,,last_layer,0.4974816951408921,0.04505237181265797,0.4615076499977737,0.03431479374183993,0.5045469613737062,0.052851999919574545,0.611930442438917,0.5594041399301739,181.01155608147383
hubert-base-ls960,hubert-base-ls960,Ningguo,,,,last_layer,0.3812547051442911,0.027203124762952564,0.34419983731178116,0.024180343956542272,0.3625398078594535,0.03673844593780856,0.4777911164465786,0.4516245502827147,180.47707925364375
hubert-base-ls960,hubert-base-ls960,Qingyang,,,,last_layer,0.4670118025751073,0.03976619018270733,0.4356226630992467,0.030767676874518358,0.4764612273290579,0.04481565888367715,0.507173219978746,0.49215829856982374,180.73066922463477
