model,resolved_model,target,protocol,k,splits,train_scheme,accuracy,accuracy_std,macro_f1,macro_f1_std,weighted_f1,weighted_f1_std,zero_shot_accuracy,zero_shot_macro_f1,time_sec
MR-HuBERT,MR-HuBERT,Chizhou,loro,4,100,last_layer,0.5415300849021779,0.03449039586295462,0.4722820587848389,0.025422496105871235,0.5598973382073279,0.0349308859930928,0.6261459479281262,0.5436117981345369,125.56737746857107
MS-HuBERT,MS-HuBERT,Chizhou,loro,4,100,last_layer,0.528218899963086,0.03376978450714089,0.4792482678254122,0.02507061301584142,0.5437026697887777,0.038237196836721346,0.6296296296296297,0.5679920216862495,164.04549991711974
allophant-hierarchical-hfcache,allophant-hierarchical-hfcache,Chizhou,loro,4,100,last_layer,0.412764857881137,0.047327196673966836,0.3584745275228606,0.03283398073683931,0.4317194701995439,0.05177635092357351,0.5672900623395672,0.40923464695699335,283.91114986501634
hubert-base-ls960,hubert-base-ls960,Chizhou,loro,4,100,last_layer,0.5260059062384644,0.03385739955901173,0.47187460137051557,0.028682596649951392,0.5508106077448494,0.035608920637112254,0.5991932526585992,0.5507591480760552,176.66226047463715
mHuBERT-147,mHuBERT-147,Chizhou,loro,4,100,last_layer,0.5243872277593208,0.05235705387649553,0.45699989521901946,0.03302320512104088,0.5375084815342037,0.060798115390428106,0.5119178584525119,0.4748432771414694,174.00919130817056
wav2vec2-base,wav2vec2-base,Chizhou,loro,4,100,last_layer,0.39325027685492797,0.03956542621505626,0.35465300986962356,0.027193555534228225,0.4155180866420175,0.04724961833013899,0.48001466813348004,0.4246445825816488,212.92416485212743
wav2vec2-large-robust-hfcache,wav2vec2-large-robust-hfcache,Chizhou,loro,4,100,last_layer,0.1466315983757844,0.02953378335361935,0.1166344284652607,0.012594798252182323,0.1454158665204258,0.030085467932320444,0.26916024935826915,0.07894730452880824,311.7096662223339
wav2vec2-xls-r-300m-hfcache,wav2vec2-xls-r-300m-hfcache,Chizhou,loro,4,100,last_layer,0.1878054632705795,0.023604997760536844,0.16233725525540763,0.015304376867585316,0.20128249423027406,0.025106658130642702,0.2841950861752842,0.1333511521316681,304.07089349627495
wavlm-base,wavlm-base,Chizhou,loro,4,100,last_layer,0.41349575489110374,0.04400996194276426,0.36751876019494895,0.028470221718856166,0.43223556516204076,0.049027781323878264,0.5038503850385039,0.4488552424731674,2491.659455904737
whisper-base,whisper-base,Chizhou,loro,4,100,last_layer,0.5235418973791067,0.03806853588940497,0.49060818402723094,0.026804930108024295,0.5461098648487052,0.04044885453342691,0.652915291529153,0.6044712613980404,564.7628087420017
