baseline,baseline_file,baseline_value,gain,main_file,main_value,metric,region,region_key
mas_lora,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/baselines_whisaid_maslora_20260725/mas_lora/03_Chizhou/result.json,0.6629413034095812,0.0547608006878717,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/main_table_rc_memnet_14targets_20260722_231203/03_Chizhou/result.json,0.7177021040974529,accuracy,03池州,chizhou
mas_lora,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/baselines_whisaid_maslora_20260725/mas_lora/14_Huangshan/result.json,0.663424687095382,-0.05872041194269806,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/main_table_rc_memnet_14targets_20260722_231203/11_Huangshan/result.json,0.604704275152684,accuracy,11黄山,huangshan
mas_lora,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/baselines_whisaid_maslora_20260725/mas_lora/08_Jingxian/result.json,0.6498759171342252,-0.11012877891450878,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/main_table_rc_memnet_14targets_20260722_231203/08_Jingxian/result.json,0.5397471382197164,accuracy,08泾县,jingxian
mas_lora,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/baselines_whisaid_maslora_20260725/mas_lora/12_Lishui/result.json,0.6585746655157529,-0.050714886917966995,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/main_table_rc_memnet_14targets_20260722_231203/14_Lishui/result.json,0.607859778597786,accuracy,14溧水,lishui
mas_lora,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/baselines_whisaid_maslora_20260725/mas_lora/10_Nanling/result.json,0.6506959430297798,0.024877609222272445,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/main_table_rc_memnet_14targets_20260722_231203/10_Nanling/result.json,0.6755735522520523,accuracy,10南陵,nanling
mas_lora,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/baselines_whisaid_maslora_20260725/mas_lora/11_Ningguo/result.json,0.6575625809236081,0.001421107909516106,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/main_table_rc_memnet_14targets_20260722_231203/12_Ningguo/result.json,0.6589836888331242,accuracy,12宁国,ningguo
mas_lora,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/baselines_whisaid_maslora_20260725/mas_lora/04_Qingyang/result.json,0.678412,0.03558209871244622,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/main_table_rc_memnet_14targets_20260722_231203/04_Qingyang/result.json,0.7139940987124462,accuracy,04青阳,qingyang
mas_lora,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/baselines_whisaid_maslora_20260725/mas_lora/06_Tongling/result.json,0.6534559775571861,0.03302807804379493,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/main_table_rc_memnet_14targets_20260722_231203/06_Tongling/result.json,0.686484055600981,accuracy,06铜陵,tongling
whisaid,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/baselines_whisaid_maslora_20260725/whisaid/03_Chizhou/result.json,0.4624989210185585,0.25520318307889445,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/main_table_rc_memnet_14targets_20260722_231203/03_Chizhou/result.json,0.7177021040974529,accuracy,03池州,chizhou
whisaid,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/baselines_whisaid_maslora_20260725/whisaid/14_Huangshan/result.json,0.4844454035390591,0.12025887161362486,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/main_table_rc_memnet_14targets_20260722_231203/11_Huangshan/result.json,0.604704275152684,accuracy,11黄山,huangshan
whisaid,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/baselines_whisaid_maslora_20260725/whisaid/08_Jingxian/result.json,0.4738519637462235,0.06589517447349291,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/main_table_rc_memnet_14targets_20260722_231203/08_Jingxian/result.json,0.5397471382197164,accuracy,08泾县,jingxian
whisaid,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/baselines_whisaid_maslora_20260725/whisaid/12_Lishui/result.json,0.48753021148036263,0.12032956711742332,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/main_table_rc_memnet_14targets_20260722_231203/14_Lishui/result.json,0.607859778597786,accuracy,14溧水,lishui
whisaid,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/baselines_whisaid_maslora_20260725/whisaid/10_Nanling/result.json,0.4609430297798878,0.21463052247216446,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/main_table_rc_memnet_14targets_20260722_231203/10_Nanling/result.json,0.6755735522520523,accuracy,10南陵,nanling
whisaid,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/baselines_whisaid_maslora_20260725/whisaid/11_Ningguo/result.json,0.4782369443245576,0.1807467445085666,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/main_table_rc_memnet_14targets_20260722_231203/12_Ningguo/result.json,0.6589836888331242,accuracy,12宁国,ningguo
whisaid,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/baselines_whisaid_maslora_20260725/whisaid/04_Qingyang/result.json,0.4958588692274492,0.21813522948499703,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/main_table_rc_memnet_14targets_20260722_231203/04_Qingyang/result.json,0.7139940987124462,accuracy,04青阳,qingyang
whisaid,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/baselines_whisaid_maslora_20260725/whisaid/06_Tongling/result.json,0.4968223996547259,0.18966165594625511,/home/ustc1958/lxy/graph/tone/complete_package0722/output/0722/main_table_rc_memnet_14targets_20260722_231203/06_Tongling/result.json,0.686484055600981,accuracy,06铜陵,tongling
